SerialNumber,Product_Code,OpcoID,State
620050,TC101181,FXAU,VIC
620379,TC101181,FXAU,VIC
623855,TC101180,FXAU,VIC
517501,TC101165,FXAU,VIC
518100,TC101165,FXAU,VIC
620144,TC101181,FXAU,VIC
620067,TC101181,FXAU,VIC
629364,TC101181,FXAU,VIC
519751,TC101167,FXAU,VIC
520156,TC101162,FXAU,VIC
563666,TC101169,FXAU,VIC
629624,TC101181,FXAU,VIC
629398,TC101181,FXAU,VIC
629237,TC101181,FXAU,VIC
750557,TC101167,FXAU,VIC
566208,TC101168,FXAU,VIC
563223,TC101169,FXAU,VIC
629939,TC101181,FXAU,VIC
750438,TC101165,FXAU,VIC
520083,TC101165,FXAU,VIC
627360,TC101181,FXAU,VIC
621688,TC101180,FXAU,VIC
627315,TC101180,FXAU,VIC
501780,TC101167,FXAU,VIC
760299,TC101168,FXAU,VIC
566244,TC101169,FXAU,VIC
562964,TC101168,FXAU,VIC
627570,TC101181,FXAU,VIC
561937,TC101168,FXAU,VIC
760052,TC101168,FXAU,VIC
750044,TC101165,FXAU,VIC
790062,TC101174,FXAU,VIC
517527,TC101165,FXAU,VIC
652382,TC101182,FXAU,VIC
565443,TC101168,FXAU,VIC
565138,TC101168,FXAU,VIC
620794,TC101181,FXAU,VIC
514686,TC101160,FXAU,VIC
565382,TC101168,FXAU,VIC
564495,TC101168,FXAU,VIC
516099,TC101165,FXAU,VIC
629384,TC101181,FXAU,VIC
751179,TC101167,FXAU,VIC
505109,TC101167,FXAU,VIC
622438,TC101180,FXAU,VIC
627954,TC101180,FXAU,VIC
565304,TC101169,FXAU,VIC
560468,TC101168,FXAU,VIC
624606,TC101181,FXAU,VIC
523307,TC101167,FXAU,VIC
503156,TC101160,FXAU,VIC
628357,TC101181,FXAU,VIC
624124,TC101180,FXAU,VIC
517160,TC101165,FXAU,VIC
751118,TC101165,FXAU,VIC
567967,TC101164,FXAU,VIC
513610,TC101165,FXAU,VIC
567631,TC101168,FXAU,VIC
566844,TC101168,FXAU,VIC
523093,TC101167,FXAU,VIC
567068,TC101163,FXAU,VIC
523553,TC101165,FXAU,VIC
620719,TC101180,FXAU,VIC
629606,TC101181,FXAU,VIC
562623,TC101168,FXAU,VIC
517171,TC101167,FXAU,VIC
503113,TC101165,FXAU,VIC
515433,TC101160,FXAU,VIC
521910,TC101165,FXAU,VIC
652123,TC101183,FXAU,VIC
652182,TC101182,FXAU,VIC
523814,TC101167,FXAU,VIC
790436,TC101180,FXAU,VIC
820050,TC101183,FXAU,VIC
621875,TC101180,FXAU,VIC
525422,TC101167,FXAU,VIC
566437,TC101168,FXAU,VIC
561818,TC101168,FXAU,VIC
650146,TC101182,FXAU,VIC
520129,TC101165,FXAU,VIC
750601,TC101160,FXAU,VIC
521441,TC101167,FXAU,VIC
650145,TC101183,FXAU,VIC
514886,TC101162,FXAU,VIC
750498,TC101167,FXAU,VIC
562942,TC101169,FXAU,VIC
652439,TC101182,FXAU,VIC
820073,TC101183,FXAU,VIC
564883,TC101169,FXAU,VIC
567317,TC101168,FXAU,VIC
627702,TC101173,FXAU,VIC
565779,TC101168,FXAU,VIC
622232,TC101180,FXAU,VIC
627282,TC101181,FXAU,VIC
516479,TC101166,FXAU,VIC
565462,TC101168,FXAU,VIC
519302,TC101161,FXAU,VIC
627671,TC101173,FXAU,VIC
651066,TC101183,FXAU,VIC
652606,TC101182,FXAU,VIC
624590,TC101181,FXAU,VIC
511569,TC101167,FXAU,VIC
563823,TC101168,FXAU,VIC
517479,TC101167,FXAU,VIC
621883,TC101180,FXAU,VIC
565999,TC101168,FXAU,VIC
565931,TC101164,FXAU,VIC
630110,TC101181,FXAU,VIC
623665,TC101181,FXAU,VIC
563868,TC101169,FXAU,VIC
561924,TC101169,FXAU,VIC
520481,TC101165,FXAU,VIC
566217,TC101168,FXAU,VIC
621424,TC101181,FXAU,VIC
652443,TC101182,FXAU,VIC
563468,TC101168,FXAU,VIC
514932,TC101165,FXAU,VIC
516114,TC101165,FXAU,VIC
503848,TC101165,FXAU,VIC
750276,TC101165,FXAU,VIC
567027,TC101169,FXAU,VIC
760241,TC101169,FXAU,VIC
523134,TC101167,FXAU,VIC
509364,TC101166,FXAU,VIC
620736,TC101174,FXAU,VIC
500901,TC101167,FXAU,VIC
820207,TC101183,FXAU,VIC
624564,TC101181,FXAU,VIC
620803,TC101173,FXAU,VIC
508821,TC101165,FXAU,VIC
519608,TC101165,FXAU,VIC
621105,TC101181,FXAU,VIC
519708,TC101165,FXAU,VIC
625772,TC101181,FXAU,VIC
526013,TC101167,FXAU,VIC
520071,TC101162,FXAU,VIC
565974,TC101168,FXAU,VIC
516530,TC101165,FXAU,VIC
651328,TC101183,FXAU,VIC
501459,TC101162,FXAU,VIC
564692,TC101169,FXAU,VIC
620363,TC101181,FXAU,VIC
620815,TC101181,FXAU,VIC
820081,TC101183,FXAU,VIC
790360,TC101173,FXAU,VIC
628599,TC101180,FXAU,VIC
626253,TC101180,FXAU,VIC
565358,TC101168,FXAU,VIC
567124,TC101169,FXAU,VIC
751266,TC101165,FXAU,VIC
622487,TC101173,FXAU,VIC
624431,TC101180,FXAU,VIC
512091,TC101165,FXAU,VIC
565096,TC101168,FXAU,VIC
508686,TC101160,FXAU,VIC
623231,TC101181,FXAU,VIC
623471,TC101181,FXAU,VIC
820143,TC101182,FXAU,VIC
626127,TC101180,FXAU,VIC
562504,TC101169,FXAU,VIC
565328,TC101168,FXAU,VIC
620480,TC101181,FXAU,VIC
566097,TC101168,FXAU,VIC
621776,TC101181,FXAU,VIC
820038,TC101183,FXAU,VIC
521055,TC101167,FXAU,VIC
501808,TC101165,FXAU,VIC
524144,TC101167,FXAU,VIC
503505,TC101160,FXAU,VIC
516404,TC101167,FXAU,VIC
500152,TC101167,FXAU,VIC
628677,TC101181,FXAU,VIC
790437,TC101180,FXAU,VIC
626530,TC101181,FXAU,VIC
820022,TC101183,FXAU,VIC
652423,TC101182,FXAU,VIC
566728,TC101164,FXAU,VIC
503001,TC101166,FXAU,VIC
750760,TC101167,FXAU,VIC
522054,TC101167,FXAU,VIC
620442,TC101181,FXAU,VIC
650414,TC101182,FXAU,VIC
508064,TC101165,FXAU,VIC
519795,TC101165,FXAU,VIC
521418,TC101167,FXAU,VIC
651153,TC101182,FXAU,VIC
620339,TC101181,FXAU,VIC
760455,TC101163,FXAU,VIC
525394,TC101162,FXAU,VIC
517320,TC101165,FXAU,VIC
565790,TC101168,FXAU,VIC
620162,TC101181,FXAU,VIC
522386,TC101167,FXAU,VIC
750539,TC101160,FXAU,VIC
567618,TC101168,FXAU,VIC
567415,TC101168,FXAU,VIC
503010,TC101167,FXAU,VIC
