SerialNumber,Product_Code,OpcoID,State
140459,TC101673,FXAU,VIC
790758,TC101570,FXAU,VIC
139353,TC101673,FXAU,VIC
138394,TC101888,FXAU,VIC
505994,TC101545,FXAU,VIC
521568,TC101545,FXAU,VIC
106017,TC101672,FXAU,VIC
566277,TC101546,FXAU,VIC
652578,TC101548,FXAU,VIC
521614,TC101545,FXAU,VIC
564972,TC101546,FXAU,VIC
138709,TC101673,FXAU,VIC
105048,TC101672,FXAU,VIC
517683,TC101544,FXAU,VIC
131699,TC101888,FXAU,VIC
140115,TC101672,FXAU,VIC
128300,TC101672,FXAU,VIC
650484,TC101549,FXAU,VIC
109871,TC101673,FXAU,VIC
565982,TC101546,FXAU,VIC
651724,TC101549,FXAU,VIC
620174,TC101571,FXAU,VIC
625152,TC101571,FXAU,VIC
564901,TC101547,FXAU,VIC
562820,TC101547,FXAU,VIC
520916,TC101545,FXAU,VIC
133108,TC101888,FXAU,VIC
505167,TC101544,FXAU,VIC
565329,TC101546,FXAU,VIC
520868,TC101545,FXAU,VIC
520848,TC101545,FXAU,VIC
790696,TC101571,FXAU,VIC
138797,TC101672,FXAU,VIC
751550,TC101544,FXAU,VIC
624934,TC101571,FXAU,VIC
751244,TC101544,FXAU,VIC
140343,TC101673,FXAU,VIC
116113,TC101309,FXAU,VIC
111346,TC101673,FXAU,VIC
127868,TC101672,FXAU,VIC
566034,TC101546,FXAU,VIC
564966,TC101546,FXAU,VIC
502697,TC101545,FXAU,VIC
624814,TC101571,FXAU,VIC
518424,TC101545,FXAU,VIC
135114,TC101672,FXAU,VIC
251363,TC101329,FXAU,VIC
565645,TC101546,FXAU,VIC
566924,TC101546,FXAU,VIC
652361,TC101549,FXAU,VIC
560985,TC101546,FXAU,VIC
750955,TC101545,FXAU,VIC
515191,TC101544,FXAU,VIC
623946,TC101571,FXAU,VIC
652412,TC101548,FXAU,VIC
521613,TC101545,FXAU,VIC
128359,TC101673,FXAU,VIC
624176,TC101571,FXAU,VIC
105256,TC101672,FXAU,VIC
518277,TC101545,FXAU,VIC
129047,TC101673,FXAU,VIC
506916,TC101544,FXAU,VIC
505004,TC101544,FXAU,VIC
751285,TC101544,FXAU,VIC
133353,TC101888,FXAU,VIC
565360,TC101546,FXAU,VIC
135448,TC101672,FXAU,VIC
561127,TC101546,FXAU,VIC
560948,TC101546,FXAU,VIC
565293,TC101546,FXAU,VIC
138525,TC101888,FXAU,VIC
750992,TC101544,FXAU,VIC
106878,TC101673,FXAU,VIC
620179,TC101571,FXAU,VIC
563211,TC101547,FXAU,VIC
128252,TC101888,FXAU,VIC
515817,TC101545,FXAU,VIC
510475,TC101545,FXAU,VIC
136586,TC101672,FXAU,VIC
517817,TC101545,FXAU,VIC
109822,TC101673,FXAU,VIC
131163,TC101672,FXAU,VIC
270716,TC101688,FXAU,VIC
130805,TC101672,FXAU,VIC
127811,TC101672,FXAU,VIC
563278,TC101546,FXAU,VIC
106501,TC101673,FXAU,VIC
111128,TC101888,FXAU,VIC
109033,TC101673,FXAU,VIC
103932,TC101672,FXAU,VIC
564880,TC101546,FXAU,VIC
504724,TC101545,FXAU,VIC
518622,TC101545,FXAU,VIC
518175,TC101545,FXAU,VIC
518276,TC101545,FXAU,VIC
119454,TC101672,FXAU,VIC
504763,TC101545,FXAU,VIC
624303,TC101570,FXAU,VIC
623348,TC101570,FXAU,VIC
564789,TC101546,FXAU,VIC
106557,TC101673,FXAU,VIC
109028,TC101673,FXAU,VIC
760526,TC101547,FXAU,VIC
567870,TC101546,FXAU,VIC
750479,TC101544,FXAU,VIC
751326,TC101545,FXAU,VIC
115570,TC101673,FXAU,VIC
751792,TC101545,FXAU,VIC
520878,TC101545,FXAU,VIC
565662,TC101546,FXAU,VIC
517007,TC101544,FXAU,VIC
517801,TC101545,FXAU,VIC
624182,TC101571,FXAU,VIC
132940,TC101673,FXAU,VIC
750948,TC101544,FXAU,VIC
129040,TC101673,FXAU,VIC
107403,TC101672,FXAU,VIC
560401,TC101546,FXAU,VIC
129461,TC101673,FXAU,VIC
131942,TC101672,FXAU,VIC
760476,TC101547,FXAU,VIC
790615,TC101571,FXAU,VIC
118594,TC101307,FXAU,VIC
624014,TC101571,FXAU,VIC
201287,TC101677,FXAU,VIC
623811,TC101570,FXAU,VIC
624840,TC101571,FXAU,VIC
790333,TC101571,FXAU,VIC
566367,TC101546,FXAU,VIC
129431,TC101672,FXAU,VIC
517214,TC101544,FXAU,VIC
650150,TC101548,FXAU,VIC
565402,TC101546,FXAU,VIC
566438,TC101546,FXAU,VIC
139933,TC101673,FXAU,VIC
130575,TC101888,FXAU,VIC
565955,TC101546,FXAU,VIC
107856,TC101673,FXAU,VIC
116910,TC101673,FXAU,VIC
127942,TC101672,FXAU,VIC
105279,TC101672,FXAU,VIC
622655,TC101570,FXAU,VIC
621012,TC101570,FXAU,VIC
231678,TC101687,FXAU,VIC
652048,TC101549,FXAU,VIC
566062,TC101546,FXAU,VIC
750945,TC101544,FXAU,VIC
136716,TC101673,FXAU,VIC
565651,TC101546,FXAU,VIC
520827,TC101545,FXAU,VIC
131953,TC101673,FXAU,VIC
565674,TC101546,FXAU,VIC
506326,TC101545,FXAU,VIC
750660,TC101544,FXAU,VIC
430134,TC101678,FXAU,VIC
621197,TC101571,FXAU,VIC
519941,TC101545,FXAU,VIC
129714,TC101672,FXAU,VIC
302567,TC101678,FXAU,VIC
224621,TC101325,FXAU,VIC
420804,TC101674,FXAU,VIC
233551,TC101687,FXAU,VIC
130567,TC101672,FXAU,VIC
105472,TC101673,FXAU,VIC
103863,TC101672,FXAU,VIC
303483,TC101679,FXAU,VIC
400228,TC101672,FXAU,VIC
303366,TC101678,FXAU,VIC
624985,TC101570,FXAU,VIC
402231,TC101672,FXAU,VIC
140299,TC101673,FXAU,VIC
430029,TC101679,FXAU,VIC
400014,TC101672,FXAU,VIC
172172,TC101675,FXAU,VIC
420813,TC101674,FXAU,VIC
400173,TC101323,FXAU,VIC
234435,TC101687,FXAU,VIC
501566,TC101167,FXAU,VIC
517803,TC101544,FXAU,VIC
651996,TC101182,FXAU,VIC
271178,TC101689,FXAU,VIC
174663,TC101674,FXAU,VIC
201834,TC101676,FXAU,VIC
204879,TC101677,FXAU,VIC
430164,TC101679,FXAU,VIC
270737,TC101689,FXAU,VIC
128241,TC101672,FXAU,VIC
363043,TC101310,FXAU,VIC
128335,TC101672,FXAU,VIC
430324,TC101678,FXAU,VIC
