order,tag,id,name,type,class,text
1,head,Head1,,,,Gateway
2,form,Form1,,,,"FUJIFILM INTERNAL USE ONLY << RESTRICTED >>Welcome,au016207|"
3,input,__EVENTTARGET,__EVENTTARGET,hidden,,
4,input,__EVENTARGUMENT,__EVENTARGUMENT,hidden,,
5,input,__LASTFOCUS,__LASTFOCUS,hidden,,
6,input,__VIEWSTATE,__VIEWSTATE,hidden,,
7,input,__VIEWSTATEGENERATOR,__VIEWSTATEGENERATOR,hidden,,
8,input,__EVENTVALIDATION,__EVENTVALIDATION,hidden,,
9,div,wrapper,,,,"FUJIFILM INTERNAL USE ONLY << RESTRICTED >>Welcome,au016207|"
10,span,lblRightCorneText,,,,FUJIFILM INTERNAL USE ONLY << RESTRICTED >>
11,span,lblUserName,,,,au016207
12,a,lnkbtnLogOut,,,,Log Out
13,div,dvTopMenu,,,subHeadSection,Device ManagementManage DeviceAlert ManagementManage Busines
14,div,smoothmenu1,,,ddsmoothmenu,Device ManagementManage DeviceAlert ManagementManage Busines
15,div,MainContent_upAddBusinessRule,,,,Alert ManagementBusiness Rules DefinitionAdd/ Update Busines
16,a,middleBreadCrum,,,,Business Rules Definition
17,li,editBreadCrum,,,last,Add/ Update Business Rules
18,div,MainContent_showSummary,,,messageBody informationBlock infoMsg error,Please select an action to add new template.
19,div,MainContent_validationSummarySave,,,,Please select an action to add new template.
20,span,MainContent_lblBusinessRule,,,,Business Rule Name
21,input,MainContent_txtBusinessRule,ctl00$MainContent$txtBusinessRule,text,,
22,span,MainContent_rqBusinessRule,,,,
23,input,MainContent_txtDescription,ctl00$MainContent$txtDescription,text,,
24,select,MainContent_ddlBusinessRuleStatus,ctl00$MainContent$ddlBusinessRuleStatus,,,EnabledDisabled
25,span,MainContent_lblAlertType,,,,Alert Type
26,select,MainContent_ddlAlertType,ctl00$MainContent$ddlAlertType,,,SelectDaily MeterEXCHFaultFault-GCCFixed BillingKOCNon-CommS
27,span,MainContent_rqAlertType,,,,
28,span,MainContent_lblChainLink,,,redText,
29,span,MainContent_lblOpCo,,,,OpCo(1)
30,select,MainContent_ddlOpCo,ctl00$MainContent$ddlOpCo,,,SelectFXAU
31,span,MainContent_rqOpCo,,,,
32,span,MainContent_lblHierarchyLevel1,,,lvalue,
33,input,MainContent_rbAnyDayTime,ctl00$MainContent$AdditionalConditions,radio,,
34,input,MainContent_rbDayofMonth,ctl00$MainContent$AdditionalConditions,radio,,
35,select,MainContent_ddlDayOfTheMonth,ctl00$MainContent$ddlDayOfTheMonth,,,Day12345678910111213141516171819202122232425262728293031
36,input,MainContent_rbDayOfWeek,ctl00$MainContent$AdditionalConditions,radio,,
